M1R0 M1R3 M1R6 M21R0 M21R3 M21R6 M41R0 M41R3 M41R6
292644 2147483647 2147483647 414680 300582 140684 276216 412745 377562
265672 2147483647 2147483647 428582 344834 243009 439523 261483 497620
256468 2147483647 2147483647 392301 262838 310416 450082 285229 216945
346421 2147483647 2147483647 406264 245499 492730 258854 444158 492306
472714 2147483647 2147483647 387349 252492 288975 345820 321420 454373
399562 2147483647 2147483647 264335 241386 446528 413362 377806 242980
432249 2147483647 2147483647 225078 304289 370254 428604 248786 346176
328602 2147483647 2147483647 362519 477500 378430 466293 387249 395923
354561 2147483647 2147483647 202542 433408 320906 400919 360741 416715
414728 2147483647 2147483647 219753 130357 321514 390829 485008 192960
376653 2147483647 2147483647 439428 386391 284880 279119 399934 237593
